enterprise,beta_a,beta_b,beta_c,beta_i,delta_a,delta_b,delta_c,delta_i
1,0.860357675,0.550234987,0,3.3956,0.0105,0.470091499,0,2.1065
2,0.891917324,0.513084213,0,3.6694,0.0469,0.383135858,0,2.3182
3,1,0.982387129,0,5.7341,0.001,0.026724126,0,2.369
4,0.919294251,0.918762011,0,3.4928,0.1152,0.734515066,0,2.783
5,0.933718552,0.528778849,0,5.442,0.0001,0.747075083,0,2.7862
6,0.942308523,0.4311736,0,5.1218,0.0002,0.630568451,0,2.7617
7,0.75604923,0.471339109,0,3.9097,0.0887,0.490308496,0,2.3923
8,0.997614614,0.995622895,0,2.2862,0.0315,0.054263865,0,1.9766
9,0.926248341,0.663788633,0,1.4243,0.0489,0.533051152,0,2.1432
10,0.946869439,0.802566385,0,3.6742,0.4112,0.347145758,0,2.3666
11,0.88043762,0.470174219,0,4.2718,0.0004,0.792999041,0,2.507
12,0.994284566,0.831546869,0,1.2804,0.066,0.497842963,0,2.0436
13,0.979644483,0.929485167,0,1.4,0.046,0.692399238,0,2.0622
14,1,0.610506968,0,6.1152,0.0508,0.360520198,0,2.8524
15,0.963230223,0.844170647,0,8.7673,0.0328,0.256469284,0,4.8878
16,0.857896112,0.53906295,0,5.7635,0.1454,0.421501775,0,3.009
17,0.930160997,0.28135216,0,17.2092,0.0007,0.885051691,0,3.3366
18,0.970165769,0.370157752,0,15.5409,0.0021,0.588263869,0,3.6596
19,1,0.64647275,0,32.3074,0.1047,0.526264921,0,4.5543
20,0.941085047,0.703190823,0,3.1954,0.0616,0.286149171,0,2.2045
21,0.996595912,0.669887037,0,2.2524,0.5433,0.352679204,0,2.0944
22,0.922904338,0.85522325,0,3.5976,1.2719,0.542551717,0,0.2718
23,0.913978829,0.627305128,0,3.4999,0.0995,0.669088357,0,2.381
24,0.964606787,0.869678162,0,1.2884,0.0602,0.647806877,0,2.1339
25,0.946109708,0.830477777,0,1.3569,0.1019,0.710208082,0,2.137
26,0.86709412,0.574780979,0,1.7693,0.0435,0.45916577,0,2.3365
27,0.931196078,0.749511346,0,1.1117,0.0415,0.48577756,0,2.0173
28,0.975428075,0.625811772,0,1.3546,0.3097,0.365429039,0,2.0339
29,0.895116116,0.681248426,0,1.6631,0.0324,0.575203907,0,2.1552
30,0.972449557,0.527679142,0,0.8013,0.0017,0.75609315,0,2.0178
